texto;sentimento
em o dia de os alunos forma aaluma falou com os colegas: minha memoria esta cheia dale tomara que o ano que nem nao seja ela adorei o livro espero esta relendo-o;pos
Um lixo, uma verdadeira porcaria nunca li algo tão cretino em a minha vida e não me conformo de saber que as pessoas o consideram o livro de suas vidas;neg
Não recomendo;neg
O livro é idiota, repetitivo, cansativo e irritante, tanto quanto seu narrador;neg
Lixo de livro;neg
Decepcionante ;neg
Li O apanhador em o campo de centeio por três motivos: O título era sugestivo, Foi o livro que John Lennon autografou a pedido de Mark Chapman, que logo depois o mataria e que, por isso mesmo, fez com que o livro ganhasse notoriedade e fosse motivo para estudos posteriores, e O bem-sucedido publicitário brasileiro Washington Olivetto sempre tem em sua casa dezenas de exemplares para oferecer a amigos e conhecidos;neu
Porém, o livro é a descrição de os pensamentos e aventuras, em Nova Iorque, de um adolescente fútil e fracassado, cujo conteúdo de o livro nada acrescenta a o leitor;neg
Decepcionante, tempo perdido;neg
Eu poderia e devria ter lido coisa melhor;neg
Dizem que o autor recusou-se a estampar sua foto em o livro Até sei o porquê: medo de ser reconhecido e de levar um cascudo de seus leitores;neg
Até hoje não compreendo porque esse livro é considerado um clássico de a literatura;neg
A começar por o título de o livro que nada tem a ver com a história de o livro;neg
O apanhador em o campo de centeio é o nome de uma música que um figurante isso mesmo, um menininho que aparece em um parágrafo perdido de o livro passa assoviando em a frente de o personagem principal;neu
Então ele cita que o menino está assoviando a música tal e é aí basicamente que se menciona o que se dá título a o livro;neu
O livro conta a história de um adolescente de o estilo rebelde sem causa literalmente que decide parar de estudar porque não gosta de estudar, também não gosta de ninguém e se relaciona mal com a família;neu
Então ele abandona o colégio interno e sai vagando por aí;neu
Ok, e qual é a história mesmo? ;neu
Qual o objetivo de o peronagem? ;neu
Pois é nenhum;neg
Vadiar, somente;neg
Pois é belo exemplo para a juventude esse clássico de a literatura;neg
Muito hype por nada ;neg
Todo mundo fala que esse livro é foda, mas em a verdade ele é um lixo;neg
Realmente a única passagem mais ou menos bonita de o livro é o sonho de o moleque pegando uma bola de baseball em o campo de centeio que dá pra um abismo;neu
O resto, é sofrível enquanto literatura;neg
Não sei como uma porcaria de essa conseguiu ser consagrada;neg
Se bem que Tem tanta porcaria consagrada por aí de qualquer jeito .;neg
Um livro revolucionário, para a época em que foi lançado ;pos
Hoje em dia é só mais um livro;neg
Já dizia a expressão falada por Holden Caulfield: Esse livro é 100 %;neu
Acho que esse eh o livro mais chato que ja li em a vida;neg
A minha leitura foi mais um desafio para chegar ate o final;neg
Quanto mais eu lia, mais desejava acontecesse uma desgraca a o personagem e acabasse logo com a historia;neg
Um personagem completamente desagradavel, em a minha humilde opiniao;neg
Faltou o clímax;neg
É um livro bem escrito, mas sempre parece que algo está prestes a acontecer e NADA acontece;neg
Me frustrei;neg
O livro, de início, não empolga muito;neg
Parece que a história não tem nenhuma intenção específica, e a narração é feita de maneira informal demais, com uso repetitivo de gírias e palavras de baixo calão;neg
Mas a a medida que a história vai se passando, você se adapta mais a o personagem, a a situação, passa a entender melhor o mundo em que se passa a história e a possível intencionalidade de o autor;neu
O livro é de uma leitura muito fácil e rápida, acabei em três dias;pos
E agora entendi porque ele é um clássico;pos
Ele mostra de forma clara, simples e divertida os pensamentos, conflitos e dilemas de um adolescente aparentemente revoltado com o mundo, todas as suas qualidades e defeitos;neu
Um livro que agradará muitos adolescentes, que irão se identificar com o protagonista, Holden Caulfield, e também adultos, que relembrarão essa fase de a vida ou a entenderão um pouco melhor;pos
Recomendado;pos
Perfeito;pos
amei esse livro, ja li umas 3 vezes, e toda vez q leio falto morrer de tanto rir, elle mto engraçado;pos
recomento pra todos, pq todo mundo tem um pouco de Holdenpersonagem principal de o livro;pos
Um clássico de Sidney Sheldon ;pos
Fantástica história, a forma como os personagens se desenvolvem;pos
Prende de o início a o fim;pos
Fase boa;pos
Esse ainda está incluido entre os bons de o cara;pos
Às vezes hesito em dar o mesmo número de estrelas para autores de entretenimento e para grandes escritores mas procuro usar o critério de o impacto que o livro me causou;neu
Se a história agradou, se consegui me envolver em ela, se o autor foi capas de me prender até o fim com interesse e não apenas por obrigação de terminar o livro;pos
Enfim, não sou crítica literária mas uma simples leitora;neu
Catherine e Noelle, duas mulheres diferentes unidas por um homem;neu
Uma de as duas não terá um final feliz;neu
Acho esse livro impressionante;pos
Sydney Sheldon tem a marca registrada de envolver o leitor em as histórias de vida de seus personagens como se você fizesse parte da aquilo;pos
Mas em O Outro Lado de a Meia-Noite a interação é enorme;pos
Acho impossível não manter uma relação de amor e ódio com Noelle por exemplo, que em a minha opinião é uma de as personagens mais fortes que Sheldon já criou;pos
Bem, Sidney Sheldon dispensa apresentações;neu
Minha recomendação para o mestre sim, o cara é simplesmente, um de os melhores vai principalmente para as pessoas que não curtem ler, assim como eu em o ensino médio;pos
Acredito que já falei aqui algumas vezes, mas não canso de repetir: foi Sidney Sheldon quem me ensinou a amar a leitura;pos
E hoje o resultado que temos é uma louca por livros;neu
rs Eu li O Outro lado de a Meia-noite há, aproximadamente, 3 anos;neu
Não me recordo de os pequenos detalhes, mas esse livro está em o top 5 de os livros de o Sidney que marcam o leitor;pos
A história se passa durante a Segunda Guerra Mundial, temos uma narrativa de a vida de Noelle, que não foi de as melhores, mas ela também não se torna a melhor pessoa de o mundo;neu
Sidney também apresenta a emancipada, Catherine, que apesar de tudo é uma pessoa um tanto ingênua e doce;neu
E também não podemos esquecer o Larry Douglas, que eu particularmente detesto, mas isso só vocês lendo para entender;neu
O foco de o livro é as duas mocinhas, Catherine e Noelle;neu
Apesar da Noelle não ser uma pessoa com boa conduta e tudo mais, é a minha personagem preferida, não sei explicar o por quê, simplemente li e gostei mais de ela;neu
Maravilhoso;pos
Você começa a ler e não consegue parar mais O livro é conta sobre o quanto o desejo de vingança pode custar caro;pos
Fala sobre ambição, luxuria e vaidade;neu
Simplesmente muuito bom;pos
Recomendo;pos
Chato, entediante, repetitivo ;neg
Já tinha lido A ira de os anjos, não gostei muito mas resolvi dar uma segunda chance;neg
Infelizmente o conceito só piorou;neg
Desisti de todos os demais títulos, não consegui terminar a leitura;neg
Como todos os livros de Sheldon que eu li, trata-se muito mais de um roteiro de filme estadunidense de o que literatura propriamente dita;neu
O que importa é o que ocorre em a trama e não o relato;neu
Li por ler, emprestado de um amigo;neu
Não tive vontade de ler outros livros de o mesmo autor;neg
Este livro realmente me surpreendeu;pos
Logo em o inicio já temos uma idéia de o fim, mas mesmo assim, o fim conseguiu me surpreender;pos
E mesmo já sabendo de o desfecho, o livro todo ficamos nos perguntando COMO, de que forma o livro se desenrola-rá para ter aquela conclusão, pois, como sendo o livro separado por capítulos destinados A as duas personagens principais, fica muito dificil de saber como dois meios tão diferentes conseguirem se encontrar e ter esse desfecho;pos
O que chega a os dois únicos pontos negativos de o livro: 1º é a questão de que os capítulos são imensos, quase que intermináveis, o que deixa a leitura mais lenta, pesada, massante;neg
Outro ponto negativo é exatamente isso, em certos pontos fica dificil de prosseguir com a leitura, o livro fica muito massante;neg
Mas em um contexto todo, o livro conseguiu suprir minhas expectativas, principalmente em o fim;pos
Para aqueles que gostam de histórias que se desenrrolem lentamente, esse livro é ideal;neu
É cheio de supresas, segredos, enfim, é um ótimo livro;pos
UM SENHOR BEST SELLER;pos
Peguei este livro para ler a primeira vez em uma biblioteca pública de a minha cidade;neu
Havia acabado de ler um brinde de cianureto de agatha cristie e fui procurar um outro livro pra ler;neu
Após folhear muitos livros encontrei o outro lado de a meia noite, e não sei porque ele me chamou a atenção;neu
Li a sinopse, folheei um pouco e levei pra casa;neu
Em o trajeto de ônibus voltando pra casa, minha vida mudou, e o JEAN LEITOR nasceu;pos
Me apaixonei por o livro, por o autor e por todas as outras obras de ele, as quais fui em busca para ler uma por uma;pos
Foi o outro lado de a meia noite e Sidney Sheldon que me abriram as portas de o mundo de a leitura, de o qual não consegui mais sair, e nem quero;pos
O romance é perfeito em tudo, desde personagens, lugares, e claro seu maravilhoso enredo cheio de reviravoltas, surpresas e muito suspense;pos
Lá se vão dez anos desde que li o livro por a primeira vez e nunca consegui esquecer os nomes de os personagens principais: NOELE, CATHERINE, LARRY E CONSTANTIN DEMIRIS;pos
Pra mim é um livro inesquecivel e perfeito;pos
Acho muito dificil alguém ler e não gostar, mas pode acontecer, como eu não sei;neu
É uma pena não termos mais o grande Sidney Sheldon entre nós para nos presentear com seus romances magnificos;neu
Meio chato, meio bobo, meio argh ;neg
É interessante, mas, de fato, não está nem entre os 50 melhores que eu já li;neg
É bom para passar a tarde, como aquele filme meio chatinha e clichê que está passando em a televisão, e como você não tem mais nada pra fazer, se senta e vai assistir;neg
São mini contos muito mal elaborados e meio bobos, o que contribui para o ar de falsa simpatia que o leitor cria por a história;neg
Apesar de se tratar de um assunto bem conhecido, a autora não soube dominá-lo e o tornou o pior de os clichês;neg
Definitivamente, irritante;neg
Fala Sério, Mãe;neu
Li esse livro em algumas horas e, enquanto o lia, só conseguia pensar em uma coisa: Meu Deus;neu
Minha mãe é igual a mãe de a Malu, tenho que fazer algo a respeito;neu
Fala Sério, Mãe;neu
conta a história de vida de Maria de Lourdes, ou, como ela prefere, Malu, desde quando estava em a barriga de a sua mãe tendo os primeiros anos de vida-até os 12-narrados por sua mãe, até os 21 anos;neu
Thalita consegue retratar várias situações engraçadíssimas por as quais muitas de nós, garotas, com certeza já passamos;pos
A escrita de ela é mais fácil e mais gostosa de o que imaginei que seria já que nunca havia lido um de seus livros antes;pos
Era tão fácil que consegui, realmente, me imaginar em a pele de a Malu lógico que com algumas pequenas diferenças e ver minha mãe retratada por a mãe de ela;pos
Achei muito divertido e em muitos momentos a Angela lembrou a minha mãe, principalmente em a fase mais adulta  Muito bom, recomendoo =D;pos
Fala sério, Thalita;neu
Enquanto lia esse livro, não é exagero dizer que tive que respirar fundo e contar até dez inúmeras vezes para não largá-lo por a metade;neg
O problema em Fala sério, mãe, é o mesmo de Fala Sério, professor : pouca conexão com a realidade;neg
Mas em este ocorre com mais frequencia, o que torna a leitura algo irritante, em alguns momentos;neg
Pode-se notar claramente esse surrealismo observando as falas de Malu quando pequena;neg
Muito vocabulário para pouca idade, como em essa frase, de quando ela tinha 6 anos: -Uma beleza enorme, mamãe;neg
Ou em a insistência em saber porque seu nome é Maria de Lourdes, não se conformando com as respostas de a mãe, sempre replicando com comentários assustadoramente complexos para uma menina de 5 anos;neg
A mãe é demasiadamente sem-noção;neg
Acredito que isso seja proposital, tendo como objetivo garantir o humor em a história;neu
O problema é que não funcionou, justamente porque as atitudes são tão fora de o comum, que a o invés de ser engraçado, soa forçado, artificial, e até mesmo ridículo, algumas vezes;neg
Recomendo o livro apenas para crianças que estão iniciando o hábito de a leitura, por ser curto e de fácil entendimento;pos
Achei o livro um pouco fútil;neg
Acho que adolescentes como a Malu são difícies de encontrar, não me identifiquei com ela;neg
Ela trata mãe mas como uma melhor amiga mesmo, mas até em o modo de lidar mesmo, o que eu acho errado;neg
Mas gostei muito de o final, compensa;pos
Em o início de o livro achei divertido;pos
Aliás a escrita de ele tá toda boa e bastante diálogo gosto de isso;pos
O que achei meio estranho foi a maneira de como a filha trata a mãe em muitos momentos, como ela é respondona, como já com tão pouca idade tem vocabulário extenso para respostas assustadoras Mas depois fiquei pensando isso é estranho para mim, pois nunca vivi isso em casa;neu
Jamais fiz isso com minha mãe, nem meu irmão;neu
Nem meus primos;neu
E em o momento minha filha com 12 anos não é a metade de isso com mim;neu
Mas já vi amigas de ela agindo assim com as mães, já ouvi as amigas falando de suas mães e depois vi que não é tão fora de a realidade assim o que li em o livro;neu
De modo geral, é um livro divertido, interessante e rápido de se ler;pos
Voltado mais para mães e adolescentes;neu
tal mãe, tal filha ;neu
Amei esse livro;pos
A o mesmo tempo em que dava boas risadas com as história e micos entre Malu e a mãe de ela, refleti que as mães estão sempre de o lado de os filhos, ajudando, cuidando, aconselhando, dando bronca e ensinando sobre a vida, afinal, elas são bem mais experientes que nós;pos
Só tenho o que agradecer a a minha mãe, meu maior orgulho, meu maior exemplo;pos
O que dizer de esse livro? ;neu
De ele eu gostei de a primeira metade, em a qual a mãe de Malu é a narradora;pos
Ela conta muito bem como é a gravidez, ter uma filha pequena e o livro me prendeu desde a primeira página;pos
Mas a partir de a segunda metade, Malu começa a pagar mico  a usar o vocabulário aborrecente de ela e isso não me agradou;neg
Queria que terminasse logo, gostei mais de a mãe de ela durante uma boa parte de o livro;neg
introduz muito bem como serão os próximos: uma mistura divertidíssima de comédia e fatos de o cotidiano de uma adolescente, Malu, que narra todos os acontecimentos em relação a mãe, desde sua infância, desde o primeiro aninho em essa fase, quem começa contar é a mãe, as primeiras histórias, primeiro dia de aula, enfim, os primeiros passos de ela, e depois, quando está mais velha, passa a ser contado por ela mesma-Malu;pos
O melhor de tudo, é que a protagonista conta suas histórias de forma divertida, irônica algumas vezes, revoltada com os micos que sua mãe lhe fez pagar em outras, mas acima de tudo mostra como essa relação de mãe-e-filha, apesar de difícil, deve ser bem cuidada;pos
Histórias divertidíssimas e engraçadíssimas isso mesmo, 2 adjetivos com íssimas de uma mãe dedicada e sua filha Maria de Lourdes, que prefere ser chamada de Malu, pois odeia seu nome;pos
O bom de esse livro é que você identifica sua própria mãe em o meio de essas histórias malucas e cheias de exagero materno;pos
Leia;pos
Um livro muito bom que retrata a cruel realidade de os garotos de rua de a Bahia de a década de 30;pos
Uma realidade que não deve ser muito diferente hoje em dia;neu
Ainda assim não me apaixonei muito por o livro;neu
Sou um fervoroso defensor de o sexo feminino e desprezo qualquer coisa que relacione violência contra a mulher e o livro mostra um pouco de isso;neu
Não que eu quisesse que o autor criasse heróis romancistas em as figuras de os garotos mas em cenas como quando Pedro-Bala estrupa uma menina que passa em a praia A A noite ou quano de os meninos tentam estrupar Dora os protagonistas despencam em o meu conceito e eu não sinto mais pena ou afeição por eles em a história;neu
Mas de um ponto de vista positivista e menos sentimental é um livro muito bom;pos
Idade inadequada;neg
Esse foi um livro que eu tive que ler em a 8ª-série;neu
Em função de a idade, eu detestei;neg
Queria distância de o nome Jorge Amado depois de isso;neg
Hoje, porém, creio que eu gostaria de o livro;pos
Estou cogitando lê-lo de novo eventualmente;pos
Não é bem uma resenha, mais um aviso para não darem Capitães da Areia para uma criança de 14 anos ler;neu
Eu adorei esse livro quando li, foi um conselho de um garoto que é escritor eu conheci em a internet, foi ótimo;pos
A hitória que se passa em as ruas baianas, em que eles roubam a estilo Robin Hood é bem interessante, como garotos tinha que cuidar uns de os outros para viver, o amor juvenil, aprender a lidar com a morte, perdas, separações e muitas outras coisas antes de o tempo é triste, mas é interessante descobrir como algumas crianças viviam naquela época e, eu achei, que o livro é muito bem escrito;pos
O livro não é ruim, mas Jorge Amado parece subestimar a inteligência de o leitor a o fazer de uma história interessante um panfleto político;neu
Talvez ele achasse necessário dizer, para as pessoas de a época, que as crianças de rua fazem coisas erradas não por serem intrinsecamente más, mas porque foram abandonadas ou porque nunca tiveram carinho;neu
O problema é que hoje, a o menos, isso soa tão óbvio que o livro acaba parecendo um mero manifesto anacrônico;neg
De qualquer forma, mesmo com estes poréns, a leitura vale a pena;pos
chaaaatinho li porque meu professor pediu;neg
Incrível;pos
Li esse livro quando eu tinha 13 anos;neu
Foi um pouco chato em o começo, para uma criança que não tem o hábito de leitura;neg
Mas me conquistou rapidamente, e hoje tenho muito carinho por ele;pos
Está quente em a Cidade da Bahia ;neu
Um livro comovente, sensual e intrigante;pos
O mais bonito de o livro está em a percepção de que não há maniqueísmo em os personagens;pos
É difícil separá-los em bons e maus;neu
São crianças que tomaram rasgões de a vida;neu
Muito difícil acabar não se identificando com um de os meninos de o trapiche e ver em por o menos um de eles, um pouco de nós mesmos em o meu caso fiquei encantado por o Professor;pos
E em o final, a mensagem de encontrar aconchego em a revolução é uma semente para a luta, não só para os pobres de a cidade de a Bahia, como para todos os inconformados de esse mundo;neu
 Capitães de a Areia é um drama brasileiro contado pro Jorge Amado e publicado em 1937;neu
A história conta com a realidade vida de um grupo de jovens sem famílias que vivem em um armazém abandonado em a praia de Salvador;neu
Estes moradores de rua, menores de idades enfrentam as preocupações sociais como qualquer marginal;neu
O grupo que chegava a quase cem integrantes contava com um líder, Pedro Bala, que apesar de jovem, comandava e cuidava de as crianças ali existentes, prometendo-lhes sempre um lar;neu
Sempre em busca de superações, o livro nos traz a verdadeira história narrada em histórias objetivas, que até hoje são a verdadeira realidade;neu
A narrativa nos surpreende com o decorrer de os fatos, e aparição de novas personagens que deixarão sua marca em a envolvente história;pos
Um livro consagrado por Jorge Amado, escritor muito reconhecido, seu livro, que permanece importante em a literatura Brasileira até hoje, promete ficar por muitos e muitos anos;pos
Capitães de a Areia, que se passa em a Bahia, em Salvador, é uma obra que tem como característica principal a humanização de os delinquentes, nos apresentando sob outro caráter estético qual a motivação de os jovens órfãos-que se uniram em um grupo-em relação a os furtos, que não se dão por completa maladragem mas, principalmente, por falta de oportunidades iguais;neu
Publicado em 1937, a obra parece conter os ingredientes necessários para se manter contemporânea: a retratação de a desigualdade social, oriunda de uma vivência intensa de a parte de o autor em as ruas de Salvador e até em o Trapiche-lugar de paz e acalanto para os capitães de a areia, que em este refúgio guardam os objetos furtados e descansam;neu
Tão marcante quanto o traço social, o traço figurativo de como agem as autoridades é requintado e bem delineado por Jorge Amado, onde mostra que há uma distorcão de informações sobre os serviços governamentais para que a sociedade possa ser cúmplice contra os Capitães de a Areia;neu
Os policiais fazem parte de o objeto de ódio de os Capitães, assim como a sociedade capitalista e impiedosa;neu
Os meninos de o trapiche amam-se apenas entre si, oras literalmente, através de a pederastia-expressamente probida por Pedro-Bala, líder de o grupo;neu
O legado de a obra incide em a majestosa visão humana que nos é transferida;neu
Um livro batuta, este;pos
um de os melhores livros;pos
O livro torna o leitor íntimo de as pequenas criaturas, cada uma de elas com suas carências e ambições-de o líder Pedro Bala a o religioso Pirulito, de o ressentido e cruel Sem-Pernas a o aprendiz de cafetão Gato, de o sensato Professor a o rústico sertanejo Volta Seca;neu
Com a força de sua prosa, Jorge Amado aproxima o leitor de esses garotos e de o desejo de liberdade;neu
Ganhei de uma vizinha;neu
Confesso que não compraria, até porque não gostei de Fala sério, amor;neg
Mas esse até que é bem legal de ler;pos
Me identifiquei com algumas coisas, achei outras bastante forçadas e achei que o livro é meio que uma autobiografia de a Thalita disfarçada;neu
Até que me arrancou algumas risadaa;pos
poucas;neg
O livro, de Thalita Rebouças narra a história desde criança, de uma garota, chamada Malu, que conta sobre todas as amizades que já teve em a sua vida, de todas as confusões e as situaçoes ilarias com suas amigas;neu
Esse livro conta ahistoria de Malu e suas inseparaveis amigas;neu
Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga Esse livro e muito legal fala de todo que uma amiga e ou pode ser ;pos
Thalita é praticamente uma adolescente;neu
Escreve o livro com palavras expressões que só adolescentes usam;neu
Falando sobre mais uma aventura de Malu;neu
Ela e suas amigas aprontam e se divertem muito;pos
Malu, como todo mundo, tem a amiga mais chegada, mais fofa e mais querida;pos
Essa é a Alice, sua amiga desde pequena;neu
Ficaram juntar até o último capítulo de o livro;neu
E tenho certeza, que duraria mais;neu
As duas brigam e se divertem a o longo de o livro;neu
Além de elas, há a Duca, a Nanda, a Helo Malu era rodeada de amigas;neu
Sempre amou todas;pos
Esse livro é um livro divertido, que a o mesmo tempo que nos faz rir, nos faz refletir sobre todas as nossas amizades;pos
Que é a coisa mais preciosa de a vida ;pos
Super recomendado;pos
Amei;pos
O meu favorito de a série Fala Sério;pos
Foi o que eu mais me identifiquei:D;pos
maravilhoso;pos
Fala sério amiga é um livro muito bom;pos
Fala de uma garota chamada Malu, ela conta como é a sua vida desde os três anos de idade até a sua idade atual 21 anos;neu
Ela e suas amigas vivem muitas aventuras, conhecem várias outras garotas, arrumam namorados e principalmente encrenca ;neu
Fala sério Amiga é um livro onde a autora relata a história de ela com suas amigas de a infância até a adolescência;neu
muito bom ;pos
tenho muitas amigas e as vezes agente vive rindo de as situações que passamos, gosto de registrar esses momentos, muito legal ara quem gosta de curtir as amizades e de se divertir muito junto a elas e tambem tem muitas amizades verdadeiras;pos
AMIGO É PRA TODA VIDA E POUCOS TEM ESSA SORTE DE TER UMA PESSOA QUE ESTEJA ALÍ PARA TE APOIAR EM OS MOMENTOS DIFÍCEIS;pos
TEM AQUELA AMIGA COMPANHEIRA, IRMÃ, PRIMA;neu
MAS TODAS ELAS TEM O SEU JEITO CARINHOSO DE EM OS FAZER FELIZ;pos
Mais uma vez, em um enredo simples e muito divertido, Thalita Rebouças em os traz a alegria de a vida que toda garota conhece, mas que não consegue apreciar;pos
E. como sempre, através de os olhos, de as palavras, e de as amigas de a Malu, conseguimos enxergar muito de nós mesmas e de as nossas próprias amigas, em os vendo em características, frases e situações, em um dia a dia que por ser tão único é também tão igual a o de todo mundo;neu
Ri e me emocionei muito com o livro, e, como aconteceu quando li Fala Sério, Mãe, acabei o livro com aquela vontade apertada de reuniar todas as minhas amigas pra matar a saudade;pos
